,Country,Population
0,Afghanistan,34.26284
1,Albania,2.793592
2,Algeria,45.4
3,Andorra,0.082623
4,Angola,33.086278
5,Antigua and Barbuda,0.100772
6,Argentina,46.044703
7,Armenia,2.9812
8,Australia,26.6386
9,Austria,9.120091
10,Azerbaijan,10.135373
11,Bahamas,0.39736
12,Bahrain,1.504365
13,Bangladesh,169.828911
14,Barbados,0.2678
15,Belarus,9.200617
16,Belgium,11.755313
17,Belize,0.441471
18,Benin,12.606998
19,Bhutan,0.7632
20,Bolivia,12.006031
21,Bosnia and Herzegovina,3.277082
22,Botswana,2.410338
23,Brazil,203.062512
24,Brunei,0.440715
25,Bulgaria,6.44771
26,Burkina Faso,22.185654
27,Burundi,12.83774
28,Cambodia,15.552211
29,Cameroon,24.348251
30,Canada,40.1639
31,Cape Verde,0.569509
32,Central African Republic,5.633412
33,Chad,16.818391
34,Chile,19.960889
35,China,1411.75
36,Colombia,52.215503
37,Comoros,0.758316
38,Costa Rica,5.213362
39,Croatia,3.888529
40,Cuba,11.089511
41,Cyprus,0.9181
42,Czech Republic,10.827529
43,Democratic Republic of the Congo,95.37
44,Denmark,5.941388
45,Djibouti,1.001454
46,Dominican Republic,10.535535
47,Dominica,0.067408
48,East Timor,1.336222
49,Ecuador,18.3317
50,Egypt,102.060688
51,El Salvador,6.884888
52,Equatorial Guinea,1.55816
53,Eritrea,3.748902
54,Estonia,1.365884
55,Eswatini,1.223362
56,Ethiopia,105.163988
57,Fiji,0.893468
58,Finland,5.541016
59,France,68.042591
60,Gabon,2.233272
61,Gambia,2.417471
62,Georgia,3.7364
63,Germany,84.358845
64,Ghana,30.832019
65,Greece,10.482487
66,Grenada,0.112579
67,Guatemala,17.109746
68,Guinea-Bissau,1.781308
69,Guinea,13.261638
70,Guyana,0.743699
71,Haiti,11.743017
72,Honduras,9.546178
73,Hungary,9.678
74,Iceland,0.3942
75,India,1392.329
76,Indonesia,277.749853
77,Iran,85.1658
78,Iraq,43.324
79,Ireland,5.149139
80,Israel,9.741
81,Italy,58.803163
82,Ivory Coast,29.38915
83,Jamaica,2.825544
84,Japan,124.5
85,Jordan,11.4379
86,Kazakhstan,19.854083
87,Kenya,51.526
88,Kiribati,0.12074
89,Kuwait,4.670713
90,Kyrgyzstan,7.1
91,Laos,7.337783
92,Latvia,1.8854
93,Lebanon,5.49
94,Lesotho,2.306
95,Liberia,4.66101
96,Libya,6.931061
97,Liechtenstein,0.03968
98,Lithuania,2.862274
99,Luxembourg,0.660809
100,Madagascar,26.923353
101,Malawi,21.507723
102,Malaysia,32.6984
103,Maldives,0.397372
104,Mali,23.293699
105,Malta,0.519562
106,Marshall Islands,0.039262
107,Mauritania,4.372037
108,Mauritius,1.261196
109,Mexico,129.035733
110,Micronesia,0.105754
111,Moldova,2.604
112,Monaco,0.03915
113,Mongolia,3.457548
114,Montenegro,0.617683
115,Morocco,37.0401
116,Mozambique,32.419747
117,Myanmar,55.770232
118,Namibia,2.596037
119,Nauru,0.011832
120,Nepal,29.164578
121,Netherlands,17.8793
122,New Zealand,5.1991
123,Nicaragua,6.595674
124,Nigeria,216.7834
125,Niger,24.112753
126,North Korea,25.66
127,North Macedonia,1.832696
128,Norway,5.504329
129,Oman,5.035658
130,Pakistan,220.425254
131,Palau,0.016733
132,Palestine,5.48345
133,Panama,4.2785
134,Papua New Guinea,9.122994
135,Paraguay,7.453695
136,Peru,33.396698
137,Philippines,110.652
138,Poland,37.726
139,Portugal,10.467366
140,Qatar,3.005069
141,Romania,19.053815
142,Russia,146.424729
143,Rwanda,13.246394
144,Saint Kitts and Nevis,0.047195
145,Saint Lucia,0.178696
146,Saint Vincent and the Grenadines,0.110872
147,Samoa,0.205557
148,San Marino,0.033847
149,Saudi Arabia,32.175224
150,Senegal,17.223497
151,Serbia,6.647003
152,Seychelles,0.100447
153,Sierra Leone,8.49426
154,Singapore,5.4536
155,Slovakia,5.426857
156,Slovenia,2.116972
157,Solomon Islands,0.728041
158,Somalia,17.598
159,South Africa,60.604992
160,South Korea,51.439038
161,South Sudan,13.249924
162,Spain,48.196693
163,Sri Lanka,22.181
164,Sudan,41.9845
165,Suriname,0.6165
166,Sweden,10.538026
167,Switzerland,8.86527
168,Syria,22.923
169,São Tomé and Príncipe,0.21461
170,Tajikistan,9.506
171,Tanzania,61.74112
172,Thailand,68.263022
173,Togo,8.095498
174,Tonga,0.100179
175,Trinidad and Tobago,1.365805
176,Tunisia,11.803588
177,Turkey,85.279553
178,Turkmenistan,6.5161
179,Tuvalu,0.010679
180,Uganda,42.8859
181,Ukraine,41.130432
182,United Arab Emirates,9.28241
183,United Kingdom,67.026292
184,United States,335.097
185,Uruguay,3.554915
186,Uzbekistan,36.197788
187,Vanuatu,0.301295
188,Vatican City,0.000246
189,Venezuela,28.302
190,Vietnam,100.0
191,Yemen,31.89
192,Zambia,19.610769
193,Zimbabwe,15.178979
